transactionId,transactionHash,date,market,makerOrTaker,buyOrSell,tokenAmount,etherAmount,usdValue,fee,gasFee,feesPaidIn
2361278,0x9f54ab54801d84615aab5b065945277f76758ecc359dd50137be22df356f56a0,2018-09-14 18:36:16,AUC/ETH,maker,buy,1182.45869966,0.26412582,54.96,1.182458699663733729,N/A,AUC
2359287,0x06bd2a1bd664b4db7aa3498081515e439ece343b6246a50833ca37a041cc3c5b,2018-09-14 14:52:47,AUC/ETH,maker,buy,6715.31489362,1.5,312.49,6.71531489361702128,N/A,AUC
2359269,0xea7511d5a89702dd837b89e938a764980089f78adf77651a2ddcfea11179ea5d,2018-09-14 14:51:33,AUC/ETH,maker,buy,16059.4996108,3.5872107,747.31,16.059499610797370484,N/A,AUC
2358388,0xe781a5a9c275e7ef8254fcc3091651d9889a930b7cd06fec28aa90c530701168,2018-09-14 12:54:14,AUC/ETH,maker,buy,4565.74556917,1.01985066,208.21,4.565745569172427699,N/A,AUC
2358301,0x2302c0a0e9bff6fb9560e0d75bf69f947697134b0d99e5cf0a0f76868ebee06e,2018-09-14 12:44:48,AUC/ETH,taker,buy,1052.066,0.235,47.98,2.104132,7.610690212765957066,AUC
2227180,0x757ca87ee561c37bde9ae9c58b1390325fb181cc723aa4dcadae4ad4cfeb0951,2018-09-02 15:38:36,AUC/ETH,maker,buy,1585.96346230,0.34891196,102.27,1.585963462300625523,N/A,AUC
2225934,0x6c7bb059c9a7b2b280fa7e5e88f3aef4ca12df9aa5636b95505bcf324713ad59,2018-09-02 12:52:49,AUC/ETH,maker,buy,1576.82207348,0.34690086,102.76,1.576822073484557603,N/A,AUC
2225832,0x2de5e6a8b207085e5b8d07e7bc38414ef67806950d0f6bba21e0c45f07336691,2018-09-02 12:41:53,AUC/ETH,taker,buy,913.881,0.2,59.24,1.827762,3.1071954,AUC
2216154,0xe89e8b96c1a787cf8c96eb34ded5ec75839c8939f36235c7e5c14c0bfbc44252,2018-09-01 12:33:50,AUC/ETH,maker,buy,1499.45718182,0.32988058,94.65,1.499457181818181818,N/A,AUC
2215930,0xab4a85dcfad767b4855d9d4d0af198841c332a9c0fee9f58052b3d9855ac5679,2018-09-01 12:00:30,AUC/ETH,taker,buy,933.71,0.2,57.39,1.86742,4.761921,AUC
